date,0,1,2,3,4,5,6,7,8,9,10,11,rmm1,rmm2
2001-06-30,98.4375,146.65625,-19.46875,-274.1875,-53.976562,166.22656,136.51561999999998,-187.77344,31.554688,-12.46875,68.09375,-41.046875,0.45528099,1.4940701
2001-07-01,54.882812,162.03906,-124.39844,-254.07031,-137.83594,187.9375,160.8125,-152.52344,-55.851562,-37.617188,12.15625,-73.64844000000001,0.495249,1.55609
2001-07-02,4.078125,145.75781,-71.71094000000001,-315.41406,51.15625,223.90625,36.570312,-168.85156,-16.554688,-60.789062,70.60155999999999,-198.75,0.64038599,1.95735
2001-07-03,-99.38280999999999,27.664062,47.304688,-458.2578,60.609375,132.08594,-201.85938000000002,-180.03125,57.414062,-32.25,63.164062,-258.14062,0.35501301,2.1301701
2001-07-04,-130.5625,-54.171875,65.85155999999999,-665.53125,-3.921875,24.304688,-347.78906,-151.38281,65.875,-22.304688,59.53125,-184.0,-0.24616999999999997,2.00651
2001-07-05,-86.07030999999999,-62.382812,67.1875,-657.8594,36.570312,57.3125,-392.96094,-7.890625,59.578125,-31.59375,100.59375,-70.953125,-0.6117,1.57769
2001-07-06,-19.640625,-27.4375,65.703125,-434.21094000000005,130.85156,117.890625,-317.46094,84.71875,37.304688,-7.703125,127.25,-3.34375,-0.90812999,1.4304
2001-07-07,-32.601562,-46.664062,150.32031,-202.05469,186.71875,160.20311999999998,-281.6172,64.484375,41.71875,132.28125,160.04688000000002,-35.382812,-0.95235002,1.34893
2001-07-08,-35.78125,-127.13281,203.60938000000002,-27.195312,176.96875,78.55469000000001,-303.5,65.96875,106.50781,190.54688000000002,126.41406,6.734375,-0.76490003,1.1982501
2001-07-09,13.7421875,-96.4375,76.84375,96.88280999999999,28.132812,25.359375,-105.8125,94.203125,20.085938,160.49219,26.132812,100.91405999999999,-0.70089,1.07621
2001-07-10,86.50780999999999,-6.90625,-78.55469000000001,139.22656,-9.875,59.789062,92.609375,90.359375,-85.640625,103.53905999999999,-53.234375,117.328125,-0.90240997,1.08605
2001-07-11,31.921875,19.734375,-88.296875,65.375,43.109375,70.75,134.67969,92.34375,-53.0,90.21875,-11.171875,44.132812,-1.01641,0.80382699
2001-07-12,-21.757812,36.640625,-51.757812,-57.289062,16.960938,51.375,177.53906,97.046875,74.63280999999999,127.171875,19.726562,5.3359375,-1.28715,0.61285901
2001-07-13,21.609375,62.546875,-38.664062,-31.765625,-103.453125,44.421875,218.96094,166.47656,61.398438,149.40625,-64.671875,79.953125,-1.43985,0.62168801
2001-07-14,100.61719000000001,182.32031,-80.546875,109.796875,-100.015625,153.11719,252.40625,169.10156,-47.09375,22.515625,-123.63281,157.57031,-1.6448900000000002,0.42662501
2001-07-15,110.66406,226.23438,-91.13280999999999,188.04688000000002,21.40625,275.8672,209.54688000000002,125.83594,-50.210938,-7.5859375,-35.0,145.60156,-1.6914001,0.180291
2001-07-16,74.0625,169.57811999999998,-36.234375,140.41406,9.2421875,263.96875,135.92969,84.71094000000001,-45.890625,60.140625,59.140625,96.46094000000001,-1.7893599999999998,-0.1121
2001-07-17,47.851562,88.66405999999999,0.8125,17.945312,-79.59375,202.97656,79.234375,11.8125,4.9140625,77.125,111.984375,39.460938,-1.7630301,-0.0713367984
2001-07-18,16.953125,21.164062,43.6875,-46.078125,-52.5625,112.30469,-5.3671875,12.1484375,57.25,4.5390625,89.67969000000001,-1.6171875,-1.57819,-0.16425
